ticker,name,sector,industry,cik
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,707549
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1300514
LDOS,Leidos,Industrials,Diversified Support Services,1336920
LEN,Lennar,Consumer Discretionary,Homebuilding,920760
LII,Lennox International,Industrials,Building Products,1069202
LLY,Lilly (Eli),Health Care,Pharmaceuticals,59478
LIN,Linde plc,Materials,Industrial Gases,1707925
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,1335258
LMT,Lockheed Martin,Industrials,Aerospace & Defense,936468
L,Loews Corporation,Financials,Multi-line Insurance,60086
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,60667
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1397187
LITE,Lumentum,Information Technology,Communications Equipment,1633978
LYB,LyondellBasell,Materials,Specialty Chemicals,1489393
MTB,M&T Bank,Financials,Regional Banks,36270
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,1510295
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1048286
MRSH,Marsh McLennan,Financials,Insurance Brokers,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,916076
MRVL,Marvell Technology,Information Technology,Semiconductors,1835632
MAS,Masco,Industrials,Building Products,62996
MA,Mastercard,Financials,Transaction & Payment Processing Services,1141391
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,63754
MCD,McDonald's,Consumer Discretionary,Restaurants,63908
MCK,McKesson Corporation,Health Care,Health Care Distributors,927653
MDT,Medtronic,Health Care,Health Care Equipment,1613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,310158
META,Meta Platforms,Communication Services,Interactive Media & Services,1326801
MET,MetLife,Financials,Life & Health Insurance,1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1037646
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,789570
MCHP,Microchip Technology,Information Technology,Semiconductors,827054
MU,Micron Technology,Information Technology,Semiconductors,723125
MSFT,Microsoft,Information Technology,Systems Software,789019
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,912595
MRNA,Moderna,Health Care,Biotechnology,1682852
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1103982
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1280452
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,865752
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,895421
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,1285785
MSI,Motorola Solutions,Information Technology,Communications Equipment,68505
MSCI,MSCI,Financials,Financial Exchanges & Data,1408198
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1120193
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1002047
NFLX,Netflix,Communication Services,Movies & Entertainment,1065280
NEM,Newmont,Materials,Gold,1164727
NWSA,News Corp (Class A),Communication Services,Publishing,1564708
NWS,News Corp (Class B),Communication Services,Publishing,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,753308
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",320187
NI,NiSource,Utilities,Multi-Utilities,1111711
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,72331
NSC,Norfolk Southern,Industrials,Rail Transportation,702165
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,73124
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1133421
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1513761
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1013871
NUE,Nucor,Materials,Steel,73309
NVDA,Nvidia,Information Technology,Semiconductors,1045810
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,906163
NXPI,NXP Semiconductors,Information Technology,Semiconductors,1413447
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,797468
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,878927
OMC,Omnicom Group,Communication Services,Advertising,29989
ON,ON Semiconductor,Information Technology,Semiconductors,1097864
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,1039684
ORCL,Oracle Corporation,Information Technology,Application Software,1341439
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,1781335
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,75362
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,75677
PLTR,Palantir Technologies,Information Technology,Application Software,1321655
PANW,Palo Alto Networks,Information Technology,Systems Software,1327567
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,2041610
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,76334
PAYX,Paychex,Industrials,Human Resource & Employment Services,723531
PYPL,PayPal,Financials,Transaction & Payment Processing Services,1633917
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,77360
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,77476
PFE,Pfizer,Health Care,Pharmaceuticals,78003
PCG,PG&E Corporation,Utilities,Multi-Utilities,1004980
PM,Philip Morris International,Consumer Staples,Tobacco,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,764622
PNC,PNC Financial Services,Financials,Diversified Banks,713676
PPG,PPG Industries,Materials,Specialty Chemicals,79879
PPL,PPL Corporation,Utilities,Electric Utilities,922224
PFG,Principal Financial Group,Financials,Life & Health Insurance,1126328
PG,Procter & Gamble,Consumer Staples,Personal Care Products,80424
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,80661
PLD,Prologis,Real Estate,Industrial REITs,1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,1137774
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,788784
PTC,PTC Inc.,Information Technology,Application Software,857005
PSA,Public Storage,Real Estate,Self-Storage REITs,1393311
PHM,PulteGroup,Consumer Discretionary,Homebuilding,822416
PWR,Quanta Services,Industrials,Construction & Engineering,1050915
QCOM,Qualcomm,Information Technology,Semiconductors,804328
DGX,Quest Diagnostics,Health Care,Health Care Services,1022079
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,2058873
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1037038
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,720005
RDDT,Reddit,Communication Services,Interactive Media & Services,1713445
RTX,RTX Corporation,Industrials,Aerospace & Defense,101829
O,Realty Income,Real Estate,Retail REITs,726728
REG,Regency Centers,Real Estate,Retail REITs,910606
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,872589
RF,Regions Financial Corporation,Financials,Regional Banks,1281761
RSG,Republic Services,Industrials,Environmental & Facilities Services,1060391
RMD,ResMed|,Health Care,Health Care Equipment,943819
RVTY,Revvity,Health Care,Health Care Equipment,31791
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,1783879
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,1024478
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,84839
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,745732
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",884887
SPGI,S&P Global,Financials,Financial Exchanges & Data,64040
CRM,Salesforce,Information Technology,Application Software,1108524
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",2023554
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,1034054
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,87347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1137789
SRE,Sempra,Utilities,Multi-Utilities,1032208
NOW,ServiceNow,Information Technology,Systems Software,1373715
SHW,Sherwin-Williams,Materials,Specialty Chemicals,89800
SPG,Simon Property Group,Real Estate,Retail REITs,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,4127
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,91419
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,2005951
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,91440
SOLV,Solventum,Health Care,Health Care Technology,1964738
SO,Southern Company,Utilities,Electric Utilities,92122
LUV,Southwest Airlines,Industrials,Passenger Airlines,92380
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,93556
SBUX,Starbucks,Consumer Discretionary,Restaurants,829224
STT,State Street Corporation,Financials,Asset Management & Custody Banks,93751
STLD,Steel Dynamics,Materials,Steel,1022671
STE,Steris,Health Care,Health Care Equipment,1757898
SYK,Stryker Corporation,Health Care,Health Care Equipment,310764
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",1375365
SYF,Synchrony Financial,Financials,Consumer Finance,1601712
SNPS,Synopsys,Information Technology,Application Software,883241
SYY,Sysco,Consumer Staples,Food Distributors,96021
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1283699
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,1113169
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,946581
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1116132
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,1389170
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,27419
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,1385157
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,1094285
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,97210
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1318605
TXN,Texas Instruments,Information Technology,Semiconductors,97476
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,1811074
TXT,Textron,Industrials,Aerospace & Defense,217346
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,97745
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,109198
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,1973266
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,916365
TT,Trane Technologies,Industrials,Building Products,1466258
TDG,TransDigm Group,Industrials,Aerospace & Defense,1260221
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,86312
TRMB,Trimble Inc.,Information Technology,Application Software,864749
TFC,Truist Financial,Financials,Diversified Banks,92230
TYL,Tyler Technologies,Information Technology,Application Software,860731
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,100493
USB,U.S. Bancorp,Financials,Diversified Banks,36104
UBER,Uber,Industrials,Passenger Ground Transportation,1543151
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,74208
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,1403568
UNP,Union Pacific Corporation,Industrials,Rail Transportation,100885
UAL,United Airlines Holdings,Industrials,Passenger Airlines,100517
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1090727
URI,United Rentals,Industrials,Trading Companies & Distributors,1067701
UNH,UnitedHealth Group,Health Care,Managed Health Care,731766
UHS,Universal Health Services,Health Care,Health Care Facilities,352915
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,1035002
VEEV,Veeva Systems,Health Care,Health Care Technology,1393052
VTR,Ventas,Real Estate,Health Care REITs,740260
VLTO,Veralto,Industrials,Environmental & Facilities Services,1967680
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,1442145
VZ,Verizon,Communication Services,Integrated Telecommunication Services,732712
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,875320
VRT,Vertiv,Industrials,Electrical Components & Equipment,1674101
VTRS,Viatris,Health Care,Pharmaceuticals,1792044
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,1705696
V,Visa Inc.,Financials,Transaction & Payment Processing Services,1403161
VST,Vistra Corp.,Utilities,Electric Utilities,1692819
VMRK,Vivmark Residential,Real Estate,Multi-Family Residential REITs,906107
VMC,Vulcan Materials Company,Materials,Construction Materials,1396009
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,11544
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,277135
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,943452
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,104169
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,1744489
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,1437107
WM,Waste Management,Industrials,Environmental & Facilities Services,823768
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,1000697
WEC,WEC Energy Group,Utilities,Electric Utilities,783325
WFC,Wells Fargo,Financials,Diversified Banks,72971
WELL,Welltower,Real Estate,Health Care REITs,766704
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,105770
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",106040
WY,Weyerhaeuser,Real Estate,Timber REITs,106535
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,719955
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,107263
WTW,Willis Towers Watson,Financials,Insurance Brokers,1140536
WDAY,"Workday, Inc.",Information Technology,Application Software,1327811
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,1174922
XEL,Xcel Energy,Utilities,Multi-Utilities,72903
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,1524472
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1041061
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,877212
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,1136869
ZTS,Zoetis,Health Care,Pharmaceuticals,1555280
